end_country,flights,month
TC,13,201912
MK,10,201912
KW,8,201912
AZ,2,201912
IQ,1,201912
NC,1,201912
AI,1,201912
EH,1,201912
US,1080345,202007
CN,79984,202007
DE,56928,202007
AU,49978,202007
RU,46215,202007
GB,42458,202007
CA,41149,202007
FR,40984,202007
ES,36242,202007
IT,34990,202007
JP,34882,202007
TR,28715,202007
IN,24372,202007
VN,17926,202007
NZ,16236,202007
BR,16072,202007
CH,13906,202007
NO,13838,202007
KR,13815,202007
GR,13046,202007
PL,11728,202007
NL,11342,202007
TW,10131,202007
AE,9280,202007
BE,9091,202007
DK,8621,202007
MY,8068,202007
MX,7900,202007
PT,7762,202007
AT,7042,202007
SA,6425,202007
SE,6348,202007
HK,5423,202007
QA,5416,202007
ID,5151,202007
IE,4751,202007
TH,4328,202007
RO,4294,202007
CZ,4001,202007
PH,3998,202007
HR,3363,202007
FI,3333,202007
SG,3258,202007
UA,2933,202007
PR,2632,202007
HU,2384,202007
BG,2213,202007
IR,2209,202007
KZ,2186,202007
RS,2010,202007
BS,1998,202007
CY,1926,202007
LU,1795,202007
LV,1756,202007
LT,1564,202007
MA,1517,202007
CO,1467,202007
AL,1368,202007
ZA,1319,202007
IL,1248,202007
BA,1182,202007
BD,1177,202007
PE,1139,202007
BH,1083,202007
BY,1060,202007
MT,1050,202007
DZ,1030,202007
IS,958,202007
EE,886,202007
TN,837,202007
AR,679,202007
SI,648,202007
OM,542,202007
GT,527,202007
DO,466,202007
JE,428,202007
MK,399,202007
CU,366,202007
SN,365,202007
EG,351,202007
ME,338,202007
BM,313,202007
LB,307,202007
BO,299,202007
SK,296,202007
EC,274,202007
XK,269,202007
CR,221,202007
TC,213,202007
GE,205,202007
MD,175,202007
KW,149,202007
GG,147,202007
PK,114,202007
KP,113,202007
GI,98,202007
IQ,97,202007
AX,93,202007
UZ,87,202007
IM,83,202007
SY,81,202007
LY,81,202007
BB,77,202007
KG,75,202007
GY,49,202007
VE,49,202007
AZ,37,202007
TT,31,202007
KE,29,202007
UY,26,202007
PF,21,202007
SV,20,202007
LA,17,202007
JO,14,202007
LK,14,202007
VI,14,202007
GW,13,202007
GM,13,202007
NI,12,202007
BN,8,202007
GN,7,202007
PS,7,202007
NP,7,202007
FO,6,202007
HN,6,202007
PY,5,202007
KH,5,202007
PM,4,202007
MR,4,202007
CV,3,202007
TJ,2,202007
EH,2,202007
HT,2,202007
CL,1,202007
LC,1,202007
VG,1,202007
CM,1,202007
BW,1,202007
US,1048809,202011
CN,82144,202011
AU,57139,202011
IN,48951,202011
JP,43455,202011
RU,36628,202011
DE,36222,202011
BR,34218,202011
CA,33494,202011
GB,29489,202011
TR,28941,202011
FR,21351,202011
IT,20729,202011
NZ,19074,202011
ES,18948,202011
KR,17511,202011
MX,14258,202011
AE,14042,202011
NO,13673,202011
NL,10463,202011
VN,10183,202011
TW,10046,202011
CO,9200,202011
CH,7550,202011
HK,7503,202011
ID,7277,202011
QA,7112,202011
SA,6246,202011
PL,6109,202011
PT,5971,202011
SE,5659,202011
BE,5579,202011
DK,5304,202011
PH,5157,202011
TH,4719,202011
SG,4417,202011
MY,4407,202011
PE,4193,202011
KZ,3743,202011
GR,3689,202011
AT,3516,202011
UA,3471,202011
ZA,3415,202011
PR,3310,202011
FI,3011,202011
PK,2976,202011
IE,2797,202011
MA,2769,202011
BS,2727,202011
RO,2611,202011
CZ,2462,202011
IR,2387,202011
BD,1900,202011
IL,1769,202011
PA,1712,202011
EG,1649,202011
LU,1421,202011
GT,1414,202011
BH,1312,202011
HR,1148,202011
CY,1140,202011
HU,1061,202011
LB,1008,202011
PF,978,202011
BG,969,202011
LT,967,202011
LV,949,202011
EC,911,202011
RS,906,202011
CU,884,202011
DZ,879,202011
BY,870,202011
UZ,867,202011
MT,777,202011
CR,713,202011
BA,675,202011
EE,599,202011
IS,582,202011
NI,512,202011
OM,502,202011
NP,490,202011
BB,445,202011
BM,425,202011
TN,396,202011
SI,369,202011
BO,343,202011
PS,292,202011
JE,292,202011
SK,250,202011
AR,248,202011
MK,244,202011
GI,213,202011
LK,203,202011
KP,183,202011
TT,175,202011
GD,174,202011
AL,163,202011
GG,150,202011
JO,148,202011
SY,138,202011
LC,136,202011
VC,132,202011
LY,128,202011
KG,124,202011
ME,121,202011
GY,112,202011
MD,108,202011
XK,95,202011
UY,89,202011
VE,77,202011
IM,77,202011
AX,63,202011
HN,48,202011
MQ,41,202011
SV,27,202011
KW,27,202011
BW,23,202011
GP,16,202011
TJ,16,202011
KH,11,202011
MV,7,202011
DM,5,202011
DO,3,202011
FO,3,202011
AZ,2,202011
IQ,2,202011
GE,2,202011
BN,1,202011
KE,1,202011
CM,1,202011
VI,1,202011
US,1138210,202003
AU,80709,202003
IN,60523,202003
CA,59530,202003
GB,59160,202003
DE,55391,202003
RU,46919,202003
JP,43998,202003
BR,40213,202003
CN,37374,202003
ES,37016,202003
FR,35596,202003
TR,32809,202003
TH,25966,202003
NZ,20378,202003
IT,20257,202003
MY,18653,202003
AE,16852,202003
NO,14734,202003
CO,13340,202003
NL,13021,202003
CH,12345,202003
ID,12133,202003
SA,12038,202003
MX,11702,202003
SE,11668,202003
PH,11167,202003
KR,10157,202003
DK,9403,202003
BE,9261,202003
PT,9096,202003
GR,8877,202003
PL,8672,202003
SG,8507,202003
TW,8335,202003
IE,8218,202003
QA,7840,202003
VN,7691,202003
HK,7203,202003
AT,6642,202003
FI,6380,202003
PE,5432,202003
AR,5144,202003
ZA,4873,202003
RO,4195,202003
PR,4179,202003
MA,3681,202003
CZ,3394,202003
DO,3163,202003
HU,3135,202003
UA,2939,202003
KZ,2884,202003
DZ,2661,202003
PK,2490,202003
RS,2294,202003
BD,1990,202003
CR,1921,202003
LU,1903,202003
BH,1879,202003
LV,1868,202003
BY,1718,202003
BO,1678,202003
BS,1619,202003
IS,1606,202003
LT,1602,202003
LK,1562,202003
HR,1416,202003
IR,1334,202003
BB,1325,202003
MT,1288,202003
CU,1152,202003
BG,1130,202003
IL,995,202003
PF,923,202003
BA,864,202003
EE,851,202003
OM,839,202003
SN,799,202003
TN,733,202003
UZ,704,202003
TT,588,202003
AM,545,202003
GE,539,202003
UY,533,202003
VI,515,202003
SI,471,202003
BM,424,202003
LC,417,202003
GT,404,202003
JE,367,202003
NP,361,202003
VG,350,202003
VC,332,202003
LA,325,202003
GD,324,202003
KH,295,202003
GY,223,202003
IM,219,202003
VE,184,202003
NI,179,202003
GM,177,202003
GI,167,202003
SK,158,202003
KP,134,202003
DM,128,202003
KE,128,202003
MM,116,202003
KG,104,202003
MK,104,202003
AL,96,202003
MD,94,202003
MQ,86,202003
BW,85,202003
GW,73,202003
CV,71,202003
